S No,Video url,Thumbnail,Title,Views,Published Time
1,https://www.youtube.com/watch?v=LxHAzwur8cI,https://i.ytimg.com/vi/LxHAzwur8cI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDNZbhAXEbO4lZbVmc96RmIo9GQiA,b'How To Start Class-10th Geography || ICSE Board || Complete Roadmap For All Students\xf0\x9f\x94\xa5',4.9K views,21 hours ago
2,https://www.youtube.com/watch?v=sBXHecS1S1w,https://i.ytimg.com/vi/sBXHecS1S1w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAapTRVIPSVdOsYgnxajvzvixRPTg,How To Start Class -10th Chemistry || ICSE Board || Complete Plan To Score 95%+ Marks,9.2K views,2 days ago
3,https://www.youtube.com/watch?v=l6ZY90YnMy0,https://i.ytimg.com/vi/l6ZY90YnMy0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB4Ga1XK3Xpv3UG7Do6BB1Pqyi3VA,b'Complete Plan to Start Class-9th Science || Follow This Master Strategy to score more than 95% \xe2\x9a\xa1\xe2\x9a\xa1',27K views,5 days ago
4,https://www.youtube.com/watch?v=33onjejJLDs,https://i.ytimg.com/vi/33onjejJLDs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDWhx_14WiEKWLCva7MgOSSOOxkBw,b'Best Way To Start Class -9th English \xf0\x9f\x92\xa5 || Master Strategy Plan || Follow this \xe2\x9a\xa1\xe2\x9a\xa1',11K views,8 days ago
5,https://www.youtube.com/watch?v=o3eOj-jhhfI,https://i.ytimg.com/vi/o3eOj-jhhfI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDSD_w0pUzDMFqmNfYhktIyx7cDDg,"b""PWSAT Is Back Again!! \xf0\x9f\x94\xa5 || India's Biggest Scholarship Test || Watch This \xe2\x9a\xa1\xe2\x9a\xa1""",19K views,10 days ago
6,https://www.youtube.com/watch?v=ecGcmstmnGA,https://i.ytimg.com/vi/ecGcmstmnGA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDRTve0smEc_Ggw7B1mR1YncPXizg,b'Finally The Wait is Over \xf0\x9f\x94\xa5 || Icse Batch Coming Soon || Must Watch \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',22K views,2 weeks ago
7,https://www.youtube.com/watch?v=08WWij66k8A,https://i.ytimg.com/vi/08WWij66k8A/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAX1te33n6AmFJAuTRa0zlstmUXCw,"b""Best Strategy To Start Class-9th SST || Don't Miss This Video\xf0\x9f\x9b\x91 || Complete Roadmap""",22K views,2 weeks ago
8,https://www.youtube.com/watch?v=bXpeyKIVioA,https://i.ytimg.com/vi/bXpeyKIVioA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA3kcxKj_wE5XyySTfvw1gq94axZQ,b'Finally The Wait is Over\xf0\x9f\x94\xa5 || Launching Foundation Channels in 5 Different Languages \xf0\x9f\xa4\xa9',31K views,3 weeks ago
9,https://www.youtube.com/watch?v=YwxDKs7jNXs,https://i.ytimg.com/vi/YwxDKs7jNXs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB0gQI485GzprtsjwWZ6i2X-wgDmw,b'How To Plan For Class-11th || Perfect Strategy \xf0\x9f\x92\xaf || A Complete Roadmap!!',69K views,3 weeks ago
10,https://www.youtube.com/watch?v=dVq8dLd5zK4,https://i.ytimg.com/vi/dVq8dLd5zK4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBew4lMbLsIIHdTpens5xXljtXWhg,b'Strategy to Crack NEET in 1st Attempt \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa',142K views,3 weeks ago
