S No,Video url,Thumbnail,Title,Views,Published Time
1,https://www.youtube.com/watch?v=Fks4dVnTb5M,https://i.ytimg.com/vi/Fks4dVnTb5M/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBnYX_eCf1zVIRLv6ALXSZ_6822ww,b'How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! \xf0\x9f\x94\xa5',5.6K views,3 days ago
2,https://www.youtube.com/watch?v=nIuGXeISbSo,https://i.ytimg.com/vi/nIuGXeISbSo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAkzRlYJDR_hhhYBBi4Az5lBHWS8A,"b'BIGGEST OFFER For Class - 8th ,9th \\u0026 10th Students \xf0\x9f\xa4\xa9 || Grab This Opportunity Now \xf0\x9f\x94\xa5'",20K views,3 days ago
3,https://www.youtube.com/watch?v=p9pqo970kjw,https://i.ytimg.com/vi/p9pqo970kjw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDk_vPhY9VK2ancU8oZCvZV_G5u_w,b'Launching PW \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xb6\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe 2.0 \xf0\x9f\x94\xa5 || The Unbeatable is Loading...',27K views,4 days ago
4,https://www.youtube.com/watch?v=L5G-0FbyAsc,https://i.ytimg.com/vi/L5G-0FbyAsc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBkn-A0BKUrvgizKXgqYEthjcuwZA,b'UDAAN Hindi Batch \xf0\x9f\x94\xa5| Class 10th \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f Surprises \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 #3SaalLajawaab',11K views,4 days ago
5,https://www.youtube.com/watch?v=uqDX6hcRf2I,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAdgOoo6cSHXvM6mul3ArQ3mXlK5A,b'NEEV 2.0 Batch \xf0\x9f\x94\xa5 | Class 9th \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f Surprises \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 #3SaalLajawaab',19K views,4 days ago
6,https://www.youtube.com/watch?v=9ZVfDuqKIQM,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC9-1CiqQ3Vy06gcSaqfc3zJ1E8qA,b'How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! \xf0\x9f\x94\xa5',11K views,8 days ago
7,https://www.youtube.com/watch?v=1wMGzlQTyeM,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCz9Ly1MHb-4q64uWngzOuhYTH_Pw,b'How To Prepare For National Science Olympiad? \xf0\x9f\x94\xa5 || A Complete Guide For Class 9th \\u0026 10th Students',35K views,9 days ago
8,https://www.youtube.com/watch?v=ivS0xPAbVUs,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAVFb7hK7mSESmH-_lwIJulxrZlFg,b'How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! \xf0\x9f\x94\xa5',16K views,10 days ago
9,https://www.youtube.com/watch?v=UJb799ZLCwQ,https://i.ytimg.com/vi/UJb799ZLCwQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA_NCiYi9E7JRTrekdvH8Q0I54VRg,Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,36K views,12 days ago
10,https://www.youtube.com/watch?v=RPCHRtdO9hg,https://i.ytimg.com/vi/RPCHRtdO9hg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCY9AjQAvdRsTA9Zv169s35a7hYOQ,b'Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 \xf0\x9f\x94\xa5',17K views,13 days ago
11,https://www.youtube.com/watch?v=iN2UWJW3lzo,https://i.ytimg.com/vi/iN2UWJW3lzo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAi-nMwkQ6LMZVfw1IOjuVgmPN7KA,b'How To Plan Maths Strategy For Class -10th To Score 95%+ Marks || CBSE Boards \xf0\x9f\x94\xa5',129K views,2 weeks ago
12,https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCBRhRwqyHrvW1obtFvysb3DJzKQQ,b'Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 \xf0\x9f\x94\xa5',13K views,2 weeks ago
13,https://www.youtube.com/watch?v=CPmcBN2xoxI,https://i.ytimg.com/vi/CPmcBN2xoxI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAiLuEOPa8LWMH8SxciHNeEGxsr-w,b'Olympiad Challengers Batch For Our Udaan \\u0026 Victory Students || Class-10th\xf0\x9f\x94\xa5',45K views,2 weeks ago
14,https://www.youtube.com/watch?v=mdZ4g2o7v9g,https://i.ytimg.com/vi/mdZ4g2o7v9g/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBhTro3CHgF2tKnBt_5LI0RUe_a7g,b'How to Join Indian Army After 10th ?? | Detailed Explanation \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',13K views,2 weeks ago
15,https://www.youtube.com/watch?v=z3ko4cUOYO0,https://i.ytimg.com/vi/z3ko4cUOYO0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCv_WJXYFsVbj_cR2mPeHgm6wynXw,"b'PW \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x80, TOPPERS \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x81\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x80 || Celebrating the Success of Our Class-10th Toppers\xe2\x9a\xa1\xf0\x9f\xa4\xa9'",51K views,2 weeks ago
16,https://www.youtube.com/watch?v=ZLgLCNKQwFw,https://i.ytimg.com/vi/ZLgLCNKQwFw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAnuR9cXt7ta44zKFkfS8V8lFyhbA,b'Big Announcement For Class 10th HINDI MEDIUM Students \xf0\x9f\x94\xa5 #Trailer\xf0\x9f\x92\xa5',14K views,3 weeks ago
17,https://www.youtube.com/watch?v=J7hFajBOmBo,https://i.ytimg.com/vi/J7hFajBOmBo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDVTCu0zX882OIE-PW5c7ZTzjlxFw,"b""India's Biggest Scholarship Test For All Students \xf0\x9f\x94\xa5 || Watch This Video Now\xf0\x9f\x92\xaf""",24K views,3 weeks ago
18,https://www.youtube.com/watch?v=PXb-jcA2TGA,https://i.ytimg.com/vi/PXb-jcA2TGA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC_9zjrLBpNOfEwoflehhO6iSfB3w,b'How To Start Class-10th History \\u0026 Civics  || ICSE Board || Follow This Strategy Plan \xf0\x9f\x94\xa5',10K views,3 weeks ago
