S No,Video url,Thumbnail,Title,Views,Published Time
1,https://www.youtube.com/watch?v=lGGOfEhyMa8,https://i.ytimg.com/vi/lGGOfEhyMa8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLD-yWi1VDGLWS7jDuKKJFGSanX7dQ,Basic Theory of Turbomachines-Part-06,1.5K,1 month ago
2,https://www.youtube.com/watch?v=g95fUZT7x1A,https://i.ytimg.com/vi/g95fUZT7x1A/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBuw_CVoMJUikMwFiRkU0SW3q3bAA,Basic Theory of Turbomachines-Part-05,593,1 month ago
3,https://www.youtube.com/watch?v=BhPuuR_Cd94,https://i.ytimg.com/vi/BhPuuR_Cd94/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBAhtNhMH5mOGfbK01JiND6Ts41Jw,Basic Theory of Turbomachines-Part-04,391,1 month ago
4,https://www.youtube.com/watch?v=OM6t3ClV3Bo,https://i.ytimg.com/vi/OM6t3ClV3Bo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDuOBJak-8kgQUz1jFxeTrf0QHRUg,Basic Theory of Turbomachines-Part-03,489,1 month ago
5,https://www.youtube.com/watch?v=vzjFLT2htX4,https://i.ytimg.com/vi/vzjFLT2htX4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC_qNEkM_jqXPrLdPjafMUrS_b_gg,Basic Theory of Turbomachines-Part-02,572,1 month ago
6,https://www.youtube.com/watch?v=DlkmkeENGwg,https://i.ytimg.com/vi/DlkmkeENGwg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB990nIIoXGDWZD892BUWlt2GmfsQ,Basic Theory of Turbomachines - Part-01,1.8K,1 month ago
7,https://www.youtube.com/watch?v=QOxsC6OBICI,https://i.ytimg.com/vi/QOxsC6OBICI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAOJXUec5Nstq3slY65nYt7BYLhEw,NPTEL Most Extensive \u0026 Most Viewed Education Channel in the World,10K,2 months ago
8,https://www.youtube.com/watch?v=jbmaoQzewv8,https://i.ytimg.com/vi/jbmaoQzewv8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBCd2N7gsW35iEEJOuFdKmcTShH3A,How does NPTEL certification work? | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,2.5K,2 months ago
9,https://www.youtube.com/watch?v=iaVZAWvrNN0,https://i.ytimg.com/vi/iaVZAWvrNN0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCGXNsTiOnqfT_j7vOhNzJoFkQ86A,About NPTEL | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,3.4K,2 months ago
10,https://www.youtube.com/watch?v=RP4_-pTumyo,https://i.ytimg.com/vi/RP4_-pTumyo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLASVO1cuIjxaAVlUxsM_gOTebd3jA,Reason for doing NPTEL certification courses | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,1.5K,2 months ago
11,https://www.youtube.com/watch?v=4aLdi_2rS3M,https://i.ytimg.com/vi/4aLdi_2rS3M/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBxrw9i5qbjT_J0F9yKTZcVpQpoDg,NPTEL  Domains and Domain Scholars | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,449,2 months ago
12,https://www.youtube.com/watch?v=zyzSmLoWSJU,https://i.ytimg.com/vi/zyzSmLoWSJU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCvhBac5oJc42L0OfNyDZxHVbW3lQ,Credit Transfer for students from NPTEL SWAYAM courses | NPTEL Awareness E-Workshop | Ms. Bharathi |,1.4K,2 months ago
13,https://www.youtube.com/watch?v=wd1h-MBaZWI,https://i.ytimg.com/vi/wd1h-MBaZWI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCM8aoPZwH7bQObqYa4oIfm_XMrNw,NPTEL Internships for course toppers | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,3.6K,2 months ago
14,https://www.youtube.com/watch?v=tMnlo-P3IzQ,https://i.ytimg.com/vi/tMnlo-P3IzQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB3NkrR2VsmdIAAo9rl-YTzrfOAuQ,"NPTEL - Types of courses, institutes, statistics | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL",376,2 months ago
15,https://www.youtube.com/watch?v=rEha9Vmlv1U,https://i.ytimg.com/vi/rEha9Vmlv1U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC7Jg4AWfSiG6Rg6Ox0EO7mqZsy6A,NPTEL support for SPOCs to attend conferences | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,119,2 months ago
16,https://www.youtube.com/watch?v=khihiANS6O8,https://i.ytimg.com/vi/khihiANS6O8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCjqSYr8Z8C3ZS5khK1IgwuXAIwRw,SWAYAM NPTEL Local Chapters - Introduction | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,231,2 months ago
17,https://www.youtube.com/watch?v=hvRO1T3Tpo0,https://i.ytimg.com/vi/hvRO1T3Tpo0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBTYk87qoDTX7nXmu-OLb3q5zmFeQ,Learning never stops at NPTEL | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,135,2 months ago
18,https://www.youtube.com/watch?v=gJU2gDG9DPY,https://i.ytimg.com/vi/gJU2gDG9DPY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCIWFNQTbuaTh4DMJsmmyMhUOcXjA,NPTEL Local Chapter SPOC login | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,132,2 months ago
19,https://www.youtube.com/watch?v=eoX4S7B47zQ,https://i.ytimg.com/vi/eoX4S7B47zQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCfGN_T1IoiBqLgKrawd2_ZqJJhvQ,NPTEL Industry Associates | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,251,2 months ago
20,https://www.youtube.com/watch?v=eR1Ou3UsI7s,https://i.ytimg.com/vi/eR1Ou3UsI7s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBKKEcXoC9Yfm-lx-fF6hue_RsR2A,NPTEL Local Chapter - benefits | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,281,2 months ago
21,https://www.youtube.com/watch?v=eHVVSQ7sOJ0,https://i.ytimg.com/vi/eHVVSQ7sOJ0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCAMfs7OX69NIWRqolksuALXIE4aw,NPTEL+ portal  Self paced courses and short term training programs | NPTEL Awareness E-Workshop |,1.2K,2 months ago
22,https://www.youtube.com/watch?v=cvORoD0WgIA,https://i.ytimg.com/vi/cvORoD0WgIA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCpITKudXghw3voijVpB-x9Petfig,NPTEL Soft skill training for LC students | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,432,2 months ago
23,https://www.youtube.com/watch?v=b8u0bZpiA4I,https://i.ytimg.com/vi/b8u0bZpiA4I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAqRDRko7UazKz1WKSPcZSyLF39nw,NPTEL Stars | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,366,2 months ago
24,https://www.youtube.com/watch?v=Zqhzl9E7ekk,https://i.ytimg.com/vi/Zqhzl9E7ekk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBby8-wt2YUtmhM7InMTQXwp_OdYQ,NPTEL: Exams and certificates | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,1K,2 months ago
25,https://www.youtube.com/watch?v=X3tqWId4ASs,https://i.ytimg.com/vi/X3tqWId4ASs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBwOr_zTaQWzTkVehPs_z1qzJw5OQ,NPTEL - AICTE FDP initiative - for faculty | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTELNptel,2.4K,2 months ago
26,https://www.youtube.com/watch?v=X1v3kYiSG3Q,https://i.ytimg.com/vi/X1v3kYiSG3Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCLgKb152w01zFw_K5Msnuf2vm-xg,NPTEL Local Chapter participation | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL,118,2 months ago
